source_node,target_node,edge_type
CID_209,PMID_375,DRUG_MENTIONED_IN_LITERATURE
CID_210,PMID_376,DRUG_MENTIONED_IN_LITERATURE
CID_211,PMID_377,DRUG_MENTIONED_IN_LITERATURE
CID_212,PMID_378,DRUG_MENTIONED_IN_LITERATURE
CID_213,PMID_379,DRUG_MENTIONED_IN_LITERATURE
CID_214,PMID_380,DRUG_MENTIONED_IN_LITERATURE
CID_215,PMID_381,DRUG_MENTIONED_IN_LITERATURE
CID_216,PMID_382,DRUG_MENTIONED_IN_LITERATURE
CID_217,PMID_383,DRUG_MENTIONED_IN_LITERATURE
CID_219,PMID_384,DRUG_MENTIONED_IN_LITERATURE
CID_220,PMID_385,DRUG_MENTIONED_IN_LITERATURE
CID_221,PMID_386,DRUG_MENTIONED_IN_LITERATURE
CID_222,PMID_387,DRUG_MENTIONED_IN_LITERATURE
CID_223,PMID_388,DRUG_MENTIONED_IN_LITERATURE
CID_224,PMID_389,DRUG_MENTIONED_IN_LITERATURE
CID_225,PMID_390,DRUG_MENTIONED_IN_LITERATURE
CID_226,PMID_391,DRUG_MENTIONED_IN_LITERATURE
CID_227,PMID_392,DRUG_MENTIONED_IN_LITERATURE
CID_228,PMID_393,DRUG_MENTIONED_IN_LITERATURE
CID_229,PMID_394,DRUG_MENTIONED_IN_LITERATURE
CID_230,PMID_395,DRUG_MENTIONED_IN_LITERATURE
CID_231,PMID_396,DRUG_MENTIONED_IN_LITERATURE
CID_232,PMID_397,DRUG_MENTIONED_IN_LITERATURE
CID_233,PMID_398,DRUG_MENTIONED_IN_LITERATURE
CID_234,PMID_399,DRUG_MENTIONED_IN_LITERATURE
CID_236,PMID_400,DRUG_MENTIONED_IN_LITERATURE
CID_237,PMID_401,DRUG_MENTIONED_IN_LITERATURE
CID_238,PMID_402,DRUG_MENTIONED_IN_LITERATURE
CID_239,PMID_403,DRUG_MENTIONED_IN_LITERATURE
CID_240,PMID_404,DRUG_MENTIONED_IN_LITERATURE
CID_241,PMID_406,DRUG_MENTIONED_IN_LITERATURE
CID_242,PMID_407,DRUG_MENTIONED_IN_LITERATURE
CID_243,PMID_409,DRUG_MENTIONED_IN_LITERATURE
CID_244,PMID_408,DRUG_MENTIONED_IN_LITERATURE
CID_245,PMID_410,DRUG_MENTIONED_IN_LITERATURE
CID_246,PMID_411,DRUG_MENTIONED_IN_LITERATURE
CID_247,PMID_413,DRUG_MENTIONED_IN_LITERATURE
CID_248,PMID_412,DRUG_MENTIONED_IN_LITERATURE
CID_249,PMID_416,DRUG_MENTIONED_IN_LITERATURE
CID_250,PMID_417,DRUG_MENTIONED_IN_LITERATURE
CID_251,PMID_418,DRUG_MENTIONED_IN_LITERATURE
CID_253,PMID_419,DRUG_MENTIONED_IN_LITERATURE
CID_254,PMID_420,DRUG_MENTIONED_IN_LITERATURE
CID_255,PMID_421,DRUG_MENTIONED_IN_LITERATURE
CID_256,PMID_422,DRUG_MENTIONED_IN_LITERATURE
CID_257,PMID_423,DRUG_MENTIONED_IN_LITERATURE
CID_258,PMID_425,DRUG_MENTIONED_IN_LITERATURE
CID_259,PMID_426,DRUG_MENTIONED_IN_LITERATURE
CID_260,PMID_429,DRUG_MENTIONED_IN_LITERATURE
CID_261,PMID_424,DRUG_MENTIONED_IN_LITERATURE
CID_262,PMID_439,DRUG_MENTIONED_IN_LITERATURE
CID_263,PMID_440,DRUG_MENTIONED_IN_LITERATURE
CID_264,PMID_442,DRUG_MENTIONED_IN_LITERATURE
CID_265,PMID_446,DRUG_MENTIONED_IN_LITERATURE
CID_266,PMID_447,DRUG_MENTIONED_IN_LITERATURE
CID_267,PMID_448,DRUG_MENTIONED_IN_LITERATURE
CID_268,PMID_449,DRUG_MENTIONED_IN_LITERATURE
CID_269,PMID_450,DRUG_MENTIONED_IN_LITERATURE
CID_270,PMID_451,DRUG_MENTIONED_IN_LITERATURE
CID_271,PMID_452,DRUG_MENTIONED_IN_LITERATURE
CID_273,PMID_453,DRUG_MENTIONED_IN_LITERATURE
CID_274,PMID_454,DRUG_MENTIONED_IN_LITERATURE
CID_275,PMID_459,DRUG_MENTIONED_IN_LITERATURE
CID_276,PMID_461,DRUG_MENTIONED_IN_LITERATURE
CID_277,PMID_460,DRUG_MENTIONED_IN_LITERATURE
CID_278,PMID_462,DRUG_MENTIONED_IN_LITERATURE
CID_279,PMID_463,DRUG_MENTIONED_IN_LITERATURE
CID_280,PMID_464,DRUG_MENTIONED_IN_LITERATURE
CID_281,PMID_465,DRUG_MENTIONED_IN_LITERATURE
CID_282,PMID_466,DRUG_MENTIONED_IN_LITERATURE
CID_283,PMID_467,DRUG_MENTIONED_IN_LITERATURE
CID_284,PMID_468,DRUG_MENTIONED_IN_LITERATURE
CID_285,PMID_472,DRUG_MENTIONED_IN_LITERATURE
CID_286,PMID_475,DRUG_MENTIONED_IN_LITERATURE
CID_287,PMID_476,DRUG_MENTIONED_IN_LITERATURE
CID_288,PMID_477,DRUG_MENTIONED_IN_LITERATURE
CID_289,PMID_479,DRUG_MENTIONED_IN_LITERATURE
CID_290,PMID_480,DRUG_MENTIONED_IN_LITERATURE
CID_291,PMID_481,DRUG_MENTIONED_IN_LITERATURE
CID_292,PMID_482,DRUG_MENTIONED_IN_LITERATURE
CID_293,PMID_483,DRUG_MENTIONED_IN_LITERATURE
CID_294,PMID_484,DRUG_MENTIONED_IN_LITERATURE
CID_296,PMID_486,DRUG_MENTIONED_IN_LITERATURE
CID_297,PMID_485,DRUG_MENTIONED_IN_LITERATURE
CID_298,PMID_488,DRUG_MENTIONED_IN_LITERATURE
CID_299,PMID_489,DRUG_MENTIONED_IN_LITERATURE
CID_300,PMID_490,DRUG_MENTIONED_IN_LITERATURE
CID_301,PMID_491,DRUG_MENTIONED_IN_LITERATURE
CID_302,PMID_492,DRUG_MENTIONED_IN_LITERATURE
CID_303,PMID_493,DRUG_MENTIONED_IN_LITERATURE
CID_304,PMID_495,DRUG_MENTIONED_IN_LITERATURE
CID_305,PMID_494,DRUG_MENTIONED_IN_LITERATURE
CID_306,PMID_496,DRUG_MENTIONED_IN_LITERATURE
CID_307,PMID_497,DRUG_MENTIONED_IN_LITERATURE
CID_308,PMID_506,DRUG_MENTIONED_IN_LITERATURE
CID_309,PMID_507,DRUG_MENTIONED_IN_LITERATURE
CID_310,PMID_508,DRUG_MENTIONED_IN_LITERATURE
CID_311,PMID_514,DRUG_MENTIONED_IN_LITERATURE
CID_312,PMID_515,DRUG_MENTIONED_IN_LITERATURE
CID_313,PMID_516,DRUG_MENTIONED_IN_LITERATURE
CID_314,PMID_517,DRUG_MENTIONED_IN_LITERATURE
CID_315,PMID_519,DRUG_MENTIONED_IN_LITERATURE
CID_316,PMID_525,DRUG_MENTIONED_IN_LITERATURE
CID_317,PMID_534,DRUG_MENTIONED_IN_LITERATURE
CID_318,PMID_535,DRUG_MENTIONED_IN_LITERATURE
CID_319,PMID_537,DRUG_MENTIONED_IN_LITERATURE
CID_320,PMID_538,DRUG_MENTIONED_IN_LITERATURE
CID_321,PMID_540,DRUG_MENTIONED_IN_LITERATURE
CID_322,PMID_542,DRUG_MENTIONED_IN_LITERATURE
CID_323,PMID_541,DRUG_MENTIONED_IN_LITERATURE
CID_324,PMID_545,DRUG_MENTIONED_IN_LITERATURE
CID_325,PMID_543,DRUG_MENTIONED_IN_LITERATURE
CID_326,PMID_549,DRUG_MENTIONED_IN_LITERATURE
CID_328,PMID_550,DRUG_MENTIONED_IN_LITERATURE
CID_329,PMID_562,DRUG_MENTIONED_IN_LITERATURE
CID_330,PMID_561,DRUG_MENTIONED_IN_LITERATURE
CID_331,PMID_580,DRUG_MENTIONED_IN_LITERATURE
CID_332,PMID_578,DRUG_MENTIONED_IN_LITERATURE
CID_333,PMID_594,DRUG_MENTIONED_IN_LITERATURE
CID_334,PMID_609,DRUG_MENTIONED_IN_LITERATURE
CID_335,PMID_610,DRUG_MENTIONED_IN_LITERATURE
CID_336,PMID_611,DRUG_MENTIONED_IN_LITERATURE
CID_337,PMID_616,DRUG_MENTIONED_IN_LITERATURE
CID_338,PMID_626,DRUG_MENTIONED_IN_LITERATURE
CID_339,PMID_627,DRUG_MENTIONED_IN_LITERATURE
CID_340,PMID_628,DRUG_MENTIONED_IN_LITERATURE
CID_341,PMID_629,DRUG_MENTIONED_IN_LITERATURE
CID_342,PMID_630,DRUG_MENTIONED_IN_LITERATURE
CID_343,PMID_631,DRUG_MENTIONED_IN_LITERATURE
CID_344,PMID_632,DRUG_MENTIONED_IN_LITERATURE
CID_345,PMID_633,DRUG_MENTIONED_IN_LITERATURE
CID_346,PMID_634,DRUG_MENTIONED_IN_LITERATURE
CID_347,PMID_635,DRUG_MENTIONED_IN_LITERATURE
CID_348,PMID_643,DRUG_MENTIONED_IN_LITERATURE
CID_349,PMID_645,DRUG_MENTIONED_IN_LITERATURE
CID_350,PMID_646,DRUG_MENTIONED_IN_LITERATURE
CID_351,PMID_648,DRUG_MENTIONED_IN_LITERATURE
CID_352,PMID_651,DRUG_MENTIONED_IN_LITERATURE
CID_353,PMID_652,DRUG_MENTIONED_IN_LITERATURE
CID_354,PMID_653,DRUG_MENTIONED_IN_LITERATURE
CID_355,PMID_656,DRUG_MENTIONED_IN_LITERATURE
CID_356,PMID_657,DRUG_MENTIONED_IN_LITERATURE
CID_357,PMID_665,DRUG_MENTIONED_IN_LITERATURE
CID_358,PMID_666,DRUG_MENTIONED_IN_LITERATURE
CID_359,PMID_667,DRUG_MENTIONED_IN_LITERATURE
CID_360,PMID_668,DRUG_MENTIONED_IN_LITERATURE
CID_361,PMID_669,DRUG_MENTIONED_IN_LITERATURE
CID_362,PMID_670,DRUG_MENTIONED_IN_LITERATURE
CID_363,PMID_671,DRUG_MENTIONED_IN_LITERATURE
CID_364,PMID_672,DRUG_MENTIONED_IN_LITERATURE
CID_365,PMID_673,DRUG_MENTIONED_IN_LITERATURE
CID_366,PMID_674,DRUG_MENTIONED_IN_LITERATURE
CID_368,PMID_675,DRUG_MENTIONED_IN_LITERATURE
CID_370,PMID_676,DRUG_MENTIONED_IN_LITERATURE
CID_371,PMID_677,DRUG_MENTIONED_IN_LITERATURE
CID_372,PMID_678,DRUG_MENTIONED_IN_LITERATURE
CID_374,PMID_681,DRUG_MENTIONED_IN_LITERATURE
CID_375,PMID_698,DRUG_MENTIONED_IN_LITERATURE
CID_376,PMID_699,DRUG_MENTIONED_IN_LITERATURE
CID_377,PMID_701,DRUG_MENTIONED_IN_LITERATURE
CID_378,PMID_702,DRUG_MENTIONED_IN_LITERATURE
CID_379,PMID_706,DRUG_MENTIONED_IN_LITERATURE
CID_380,PMID_707,DRUG_MENTIONED_IN_LITERATURE
CID_381,PMID_708,DRUG_MENTIONED_IN_LITERATURE
CID_382,PMID_709,DRUG_MENTIONED_IN_LITERATURE
CID_383,PMID_710,DRUG_MENTIONED_IN_LITERATURE
CID_384,PMID_711,DRUG_MENTIONED_IN_LITERATURE
CID_385,PMID_725,DRUG_MENTIONED_IN_LITERATURE
CID_386,PMID_741,DRUG_MENTIONED_IN_LITERATURE
CID_387,PMID_742,DRUG_MENTIONED_IN_LITERATURE
CID_388,PMID_743,DRUG_MENTIONED_IN_LITERATURE
CID_389,PMID_745,DRUG_MENTIONED_IN_LITERATURE
CID_390,PMID_746,DRUG_MENTIONED_IN_LITERATURE
CID_391,PMID_747,DRUG_MENTIONED_IN_LITERATURE
CID_392,PMID_748,DRUG_MENTIONED_IN_LITERATURE
