Enzyme,Action,Target_Organ,Next_Step
ANGPT1,Inhibit,Brain,Neuromuscular Manifestations
ANGPT2,Inhibit,Liver,"Liver Failure, Acute"
ANGPTL3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANGPTL4,Inhibit,Liver,Fatty Liver
ANGPTL6,Inhibit,Liver,"Carcinoma, Hepatocellular"
ANK2,Inhibit,Heart,"Cardiac Arrhythmia, Ankyrin-B-Related"
ANK2,Inhibit,Brain,Neurodevelopmental Disorders
ANKRD11,Inhibit,Brain,Neurodevelopmental Disorders
ANKRD23,Inhibit,Heart,"Heart Failure, Diastolic"
ANKS1B,Inhibit,Liver,Hepatolenticular Degeneration
ANKS6,Inhibit,Heart,Cardiovascular Abnormalities
ANKS6,Inhibit,Liver,Liver Cirrhosis
ANLN,Inhibit,Liver,"Carcinoma, Hepatocellular"
ANO6,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANP32A,Inhibit,Liver,"Liver Failure, Acute"
ANXA1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANXA2,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ANXA2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANXA2,Inhibit,Liver,Liver Neoplasms
ANXA3,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANXA4,Inhibit,Liver,"Carcinoma, Hepatocellular"
ANXA4,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANXA4,Inhibit,Liver,Liver Neoplasms
ANXA5,Inhibit,Liver,Hepatolenticular Degeneration
ANXA5,Inhibit,Liver,"Liver Cirrhosis, Experimental"
ANXA6,Inhibit,Liver,Chemical and Drug Induced Liver Injury
ANXA7,Inhibit,Liver,Liver Neoplasms
AOC1,Inhibit,Heart,Cardiomegaly
AP1S1,Inhibit,Liver,"Cholestasis, Intrahepatic"
AP1S2,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AP3S1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APAF1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APBB1IP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APC,Inhibit,Liver,"Carcinoma, Hepatocellular"
APC,Inhibit,Liver,Liver Diseases
APC,Inhibit,Liver,Liver Neoplasms
APCS,Inhibit,Liver,"Carcinoma, Hepatocellular"
APCS,Inhibit,Heart,Heart Failure
APCS,Inhibit,Liver,Liver Neoplasms
APEX1,Inhibit,Brain,Brain Injuries
APEX1,Inhibit,Liver,"Carcinoma, Hepatocellular"
APEX1,Inhibit,Heart,Heart Diseases
APLN,Inhibit,Liver,"Carcinoma, Hepatocellular"
APLN,Inhibit,Heart,Cardiomegaly
APLN,Inhibit,Heart,"Heart Failure, Diastolic"
APLP2,Inhibit,Heart,Myocardial Ischemia
APMAP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APOA1,Inhibit,Liver,"Carcinoma, Hepatocellular"
APOA1,Inhibit,Liver,Chemical and Drug Induced Liver Injury
APOA1,Inhibit,Heart,Diabetic Cardiomyopathies
APOA4,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APOA4,Inhibit,Liver,"Liver Neoplasms, Experimental"
APOB,Inhibit,Heart,Cardiovascular Diseases
APOB,Inhibit,Liver,Fatty Liver
APOBEC1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APOC1,Inhibit,Heart,Heart Failure
APOC2,Inhibit,Liver,"Liver Failure, Acute"
APOC2,Inhibit,Liver,"Liver Neoplasms, Experimental"
APOC3,Inhibit,Heart,Cardiovascular Diseases
APOD,Inhibit,Brain,Neurodegenerative Diseases
APOE,Inhibit,Heart,Cardiovascular Diseases
APOE,Inhibit,Brain,Cerebral Amyloid Angiopathy
APOE,Inhibit,Liver,Chemical and Drug Induced Liver Injury
APOE,Inhibit,Liver,Fatty Liver
APOE,Inhibit,Liver,Hepatolenticular Degeneration
APOE,Inhibit,Heart,Myocardial Infarction
APOE,Inhibit,Brain,Neurobehavioral Manifestations
APOF,Inhibit,Liver,"Carcinoma, Hepatocellular"
APOH,Inhibit,Liver,Chemical and Drug Induced Liver Injury
APOH,Inhibit,Liver,Non-alcoholic Fatty Liver Disease
APOL9A,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APON,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APP,Inhibit,Brain,Amyloid Neuropathies
APP,Inhibit,Brain,"Amyloidosis, Cerebroarterial, App-Related"
APP,Inhibit,Brain,Brain Diseases
APP,Inhibit,Heart,Cardiomyopathies
APP,Inhibit,Brain,Cerebral Amyloid Angiopathy
APP,Inhibit,Liver,"Liver Cirrhosis, Experimental"
APP,Inhibit,Brain,Neurodegenerative Diseases
APP,Inhibit,Brain,Neurogenic Inflammation
APPL,Inhibit,Brain,Neurodegenerative Diseases
APPL1,Inhibit,Liver,"Liver Cirrhosis, Experimental"
AQP1,Inhibit,Heart,"Edema, Cardiac"
AQP2,Inhibit,Heart,Cardiomyopathies
AQP4,Inhibit,Brain,Neuromyelitis Optica
